id,parent_song,start,end,global_index,wav_path
S01_00,SSvid.net--Taylor-Swift-Blank-Space,3.2043537414965986,5.735328798185941,0,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_00.wav
S01_01,SSvid.net--Taylor-Swift-Blank-Space,5.735328798185941,8.196643990929704,1,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_01.wav
S01_02,SSvid.net--Taylor-Swift-Blank-Space,8.196643990929704,10.704399092970522,2,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_02.wav
S01_03,SSvid.net--Taylor-Swift-Blank-Space,10.704399092970522,13.188934240362812,3,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_03.wav
S01_04,SSvid.net--Taylor-Swift-Blank-Space,13.188934240362812,15.696689342403628,4,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_04.wav
S01_05,SSvid.net--Taylor-Swift-Blank-Space,15.696689342403628,18.204444444444444,5,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_05.wav
S01_06,SSvid.net--Taylor-Swift-Blank-Space,18.204444444444444,20.712199546485262,6,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_06.wav
S01_07,SSvid.net--Taylor-Swift-Blank-Space,20.712199546485262,23.196734693877552,7,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_07.wav
S01_08,SSvid.net--Taylor-Swift-Blank-Space,23.196734693877552,25.704489795918366,8,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_08.wav
S01_09,SSvid.net--Taylor-Swift-Blank-Space,25.704489795918366,28.189024943310656,9,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_09.wav
S01_10,SSvid.net--Taylor-Swift-Blank-Space,28.189024943310656,30.696780045351474,10,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_10.wav
S01_11,SSvid.net--Taylor-Swift-Blank-Space,30.696780045351474,33.20453514739229,11,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_11.wav
S01_12,SSvid.net--Taylor-Swift-Blank-Space,33.20453514739229,35.71229024943311,12,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_12.wav
S01_13,SSvid.net--Taylor-Swift-Blank-Space,35.71229024943311,38.196825396825396,13,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_13.wav
S01_14,SSvid.net--Taylor-Swift-Blank-Space,38.196825396825396,40.704580498866214,14,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_14.wav
S01_15,SSvid.net--Taylor-Swift-Blank-Space,40.704580498866214,43.21233560090703,15,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_15.wav
S01_16,SSvid.net--Taylor-Swift-Blank-Space,43.21233560090703,45.72009070294784,16,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_16.wav
S01_17,SSvid.net--Taylor-Swift-Blank-Space,45.72009070294784,48.204625850340136,17,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_17.wav
S01_18,SSvid.net--Taylor-Swift-Blank-Space,48.204625850340136,50.712380952380954,18,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_18.wav
S01_19,SSvid.net--Taylor-Swift-Blank-Space,50.712380952380954,53.19691609977324,19,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_19.wav
S01_20,SSvid.net--Taylor-Swift-Blank-Space,53.19691609977324,55.70467120181406,20,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_20.wav
S01_21,SSvid.net--Taylor-Swift-Blank-Space,55.70467120181406,58.212426303854876,21,database/audio_segments/SSvid.net--Taylor-Swift-Blank-Space_bar_21.wav
